key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
1080115|….기.. 기억이 안 나는 걸?|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|...I ... I don't remember.|Я... я не помню...
1080116|이름 부른 거 가지고 뭘 그렇게 부끄러워 하시는 거에요?\n다른 대원들은 잘도 이름으로 부르면서…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|What's there to be shy about calling my name?\nYou call other team members by their name…|Почему вы так стесняетесь называть меня по имени?\nДругих пилотов вы же называете.
1080117|부.. 부끄러워하긴 누가!\n이.. 이름으로 부를 수도 있지..|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Shy? Who says I'm shy?\nI.. I can call you by your name.|Стесняюсь? Я?\nЯ могу называть тебе по имени.
1080118|역시 기억하고 계셨군요.|So you do remember.|So you do remember.|So you do remember.|So you do remember.|So you do remember.|So you do remember.|So you do remember.|So you do remember.|Так вы помните...
1080119|그.. 그때는 하도 급박해서 나도 모르게…\n싫었다면 미안…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Well... It was such an urgent moment…\nIf you didn't like it, then sorry…|Я... ну, это был критический момент.\nЕсли тебе не нравится, тогда извини...
1080120|따.. 딱히 싫었다는 건 아니에요. \n오히려….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Well... I didn't say I did not like it. \nActually….|Ну... Я не сказала, что не нравится...\nНа самом деле...
1080121|응? 뭐라고?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Что?
1080122|아무 것도 아니에요!|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|Oh, it's nothing.|О, ничего.
1080123|어쨌든 앞으로 사.. 사적인 자리에서는 이름으로 부르셔도 돼요.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Anyway... you can. You can call me by my name when we're not on duty.|Ну... вы можете. Вы можете называть меня по имени, если мы не на дежурстве.
1080124|…………|…………|…………|…………|…………|…………|…………|…………|…………|...
1080125|사령관님이 스스로 오라버니 대신이라고 하셨잖아요!|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|You said it yourself that you are looking out for me in place of my brother.|Вы сами сказали, что видите во мне младшую сестру.
1080126|오빠가 동생에게 정 중위라고 하는 건 이상하니까.. 그러니까…|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|It's weird for a brother to call his little sister 'Lieutenant Jung'. So....|Будет странно, если брат будет называть сестру «Лейтенант Янг». Так что...
1080127|으..응. 알았어. 정 중..|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Okay. I understand. Lieutenant Jung...|Ладно, я понял, лейтенант Янг...
1080128|…|…|…|…|…|…|…|…|…|...
1080129|이..이영아.|E-Young.|E-Young.|E-Young.|E-Young.|E-Young.|E-Young.|E-Young.|E-Young.|И-Янь.
1080130|네….|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Да.
1080131|하하 이거 뭔가 쑥스럽네….|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ha, ha. This is awkward.|Ха-ха. Немного неловко.
1080132|좋아! 그럼 너도 날 오빠라고….|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Good. Then you call me brother, from now on.|Хорошо. Тогда ты можешь называть меня братом.
1080133|그건 싫어요.|That I can't.|That I can't.|That I can't.|That I can't.|That I can't.|That I can't.|That I can't.|That I can't.|Нет, не могу.
1080134|뭐~?!! \n야! 그건 좀 너무한 거 아니냐?|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|What? \nHey! That's not fair!|Что?\nЭй, это не честно.
1080135|사령관님은 어디까지나 오라버니의 대리라고요!\n그렇게도 여동생이 필요하셨나요? 이 시스콤!!!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|You are not my brother!\nWhy? Do you need a little sister? Some type of complex!|Но вы же мне не брат!\nИли вам нужна младшая сестра? Это какие-то комплексы?
1080136|누가 시스콤이냐!!\n진성 브라콤인 너에게 그런 소리 듣고 싶지 않거든?|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|What are you talking about?\nYou're the one with a brother complex!|О чём ты говоришь?\nЭто у тебя один большой комплекс брата!
1080137|누가 브라콤이에요! 전 오라버니를…|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|I do not! I just miss my brother so much...|Нет у меня ничего такого! Я просто сильно за ним скучаю!
1080138|알았어. 알았으니까 사과나 마저 깎아줘.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Alright. I understand. Let me have the apple.|Так. Я понял. Дай мне ещё одно яблоко.
1080139|흥! 역시 사령관님은 오라버니랑은 완~전 달라요!!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Humph! You are definitely different than my brother!|Хм! Вы точно отличаетесь от моего брата!
1080140|그나저나 그건 어떻게 됐어?\n그 데이트 인증인지 뭔지 하는 거 말이야.|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Anyway... what happen with that?\nThat date thing we were suppose to do?|Ладно... Так как?\nСвидание удалось?
1080141|아. 그건….\n…나름 잘 마무리 됐어요.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|Ah...! Well….\n…I resolved it pretty well.|А... ну...\nЯ это уже уладила.
1080142|응? 어떻게? 결국 인증샷도 못 찍었잖아?|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Oh? How? We didn't even get the photo.|Да? Как? Мы же даже фото не сделали.
1080143|절 구하신 모습을 보고 아버님이 마음대로 납득하신 것 같아요…|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|I think my father was satisfied of seeing how you saved my life.|Мой отец был удовлетворён, когда увидел, что вы спасли мне жизнь.
1080144|………대충 상상이 되는군.\n이것 참. 점점 오해를 풀 일들이 늘어만 가는데…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|………I think I can understand.\nOh, boy. I am living a life of a lie…|...Могу понять.\nОх, я живу во лжи...
1080145|자, 여기 사과 드세요.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Here. Have some apple.|Вот, возьмите яблоки.
1080146|응. 잘 먹을…\n오오! 사과 모양이 만화에서 보던 모양이야!\n이영이 너 사과 깎는 재주가 있었구나?|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Yeah. Thanks…\nWow! This apple is in the shape I see in TV or magazines!\nYou are good at peeling apple.|Да. Спасибо...\nОго! Они размером с те, какие я видел по телевизору! А ты умеешь выбирать!
1080147|뭐에요 그거. 칭찬이라고 하신 거에요?\n어설프기 그지 없네요. 그러니까 아직 애인이 없죠.\n어서 드시기나 하세요.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|What's that? What that a form of a compliment?\nIt sounded so awkward. That's why you don't have a girl friend.\nJust eat it.|Это что, комплимент?\nКакой-то странный. Вот поэтому у вас и нет девушки... Ешьте.
1080148|저기? 쓸데없는 사족이 너무 많거든?\n뭐, 어쨌든 잘 먹을게~ |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Hey... There are many reasons.\nAnyway, thanks. |Это только одна из причин.\nЛадно, спасибо.
1080149|천천히 좀 드세요.\n정말 어린애시라니까…|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Slow down.\nYou eat like a kid.|Эй, притормозите.\nВы же едите, как ребёнок.
1080150|(한이를 닮은 강화병… \n요즘 리프 내외부의 여러 일과 납득하기 어려운 반 총장의 여러 언동, \n제국의 수상한 행동 등…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(A bionic soldier that looks like E-Han… \nSo many rumors about Chief Van, both in and outside of REAP... \nsuspicious activities of the Empire Army... and others…)|(Бионический солдат, который выглядел, как И-Хан\nСлухи о главнокомандующем Ване...\nПодозрительная активность Империи... и всё остальное...)
1080151|(정말 무엇 하나 긴장의 끈을 놓을 수 없는 일들뿐이군. 하지만 지금은….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(So many things going on all of sudden. But now….)|(Столько всего случилось. Но сейчас...)
1080152|응? 왜요?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|Oh? What?|А? Что?
1080153|……아무것도 아냐.\n사과 하나 더 깎아줄래?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|……Oh, it's nothing.\nCan you give me another apple?|Нет, ничего.\nМожешь дать мне ещё одно яблоко?
1080154|(이 잠깐 동안의 평화를 즐기도록 하자.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Let's just enjoy this short moment of peace.)|(Просто наслажусь этим коротким мгновением спокойствия.)
1080155|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|Продолжение следует...
2010001|피치 섬의 전투로부터 수일 후…|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|A few days after the battle on Pitch Island...|Через несколько дней после сражения на острове Питч...
2010002|[b][F8FF34]전투 시뮬레이션 종료. 결과 A랭크[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Combat Simulation Complete! Result: Rank A[-][/b]|[b][F8FF34]Симуляция боя завершена! Ваш результат: ранг A[-][/b]
2010003|이제야 유닛 기동의 요령을 좀 알 것 같군…|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Now I'm getting a hang of controlling the unit.|Кажется, я привыкаю к управлению мехом.
2010004|대단해요!! 울트라 하드 모드에서 A랭크라니!!|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|You're awesome! Rank A in Ultra Hard Mode?|Вы крутые! Ранг A в суперсложном режиме?
2010005|?!!|?!!|?!!|?!!|?!!|?!!|?!!|?!!|?!!|?!!
2010006|(뭐, 뭐야. 이 아이는. 어디서 튀어 나온 거지?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(What's with this kid? Where did she come from?)|(Что с ней не так? Откуда она взялась?)
2010007|뭐, 레나는 늘 S랭크가 나오지만요.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Well, Lena always get Rank S.|Ну, у Лены всегда ранг S.
2010008|(이 아이는 분명 여신의 키스의...)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(This kid is a member of the Goddess Kiss.)|(Она — член отряда «Поцелуй Богини».)
2010009|분명.. 하나자와 라고 했었지?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Did you? Did you say you're Hanazawa?|Правда? Ты же Ханазава, да?
2010010|에?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
2010011|(뭐.. 뭐지 이 반응은?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(What? Why is she looking at me like that?)|(Что? Почему она так на меня смотрит?)
2010012|혹시 내가 뭔가 실수를 했나?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Did I say something wrong?|Я что-то не то говорю?
2010013|딱딱하게 성 말고 이름으로, ‘레나’라고 불러 주세요!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Please call me 'Lena'. Not by my last name!|Пожалуйста, зовите меня Лена. Не по фамилии!
2010014|아, 그런 것이었나.|Ah, alright.|Ah, alright.|Ah, alright.|Ah, alright.|Ah, alright.|Ah, alright.|Ah, alright.|Ah, alright.|А, хорошо.
2010015|(활발하게 생긴 것만큼 매우 싹싹한 성격인가 보군.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(She's got very cool personality, like her appearance.)|(У неё такой же крутой характер, как и внешность.)
2010016|이거 실례했군. 일본인은 웬만큼 친하지 않고서는 성으로 부르는 것으로 알고 있어서 말이야.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|I'm sorry about that. I thought Japanese people are called by their last names, unless they are really close friends.|Мне казалось, японцы обращаются по фамилиям, если они не очень близкие друзья.
2010017|그건 맞아요.|That's right.|That's right.|That's right.|That's right.|That's right.|That's right.|That's right.|That's right.|Всё верно.
2010018|응?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
2010019|그런데 우린 웬만큼이 아니라 엄~~청 친한 사이잖아요.|But we are very, very close.|But we are very, very close.|But we are very, very close.|But we are very, very close.|But we are very, very close.|But we are very, very close.|But we are very, very close.|But we are very, very close.|Но мы ведь очень близки.
2010020|뭣?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
2010021|그럴 것이 우린 이미 같이 밤을 보낸 사이잖아요~~~|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Of course we are. We even spent a night together!|Конечно. Мы же провели вместе ночь!
2010022|엥?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
2010023|(밤을 같이 보내?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(We spent the night together?)|(Мы провели вместе ночь?)
2010024|정말 뜨거운 밤이었어요…|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Oh, yeah! It really was a hot night.|Ну да! Это была потрясающая ночь!
2010025|(이 아인 대체 무슨 소릴 하는 거지?\n..........설마!!)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(What's this kid talking about?\n.......... I didn't... did I?)|(О чём она вообще?\nНеужели я... неужели?)
2010026|(얼마 전 승전 기념 회식에서 필름이 끊겼었는데.. 그때인가!!)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(I remember we had victory party the other night... and I passed out. Was that the night?)|(Я помню, у нас была вечеринка в честь победы... больше ничего. Или что-то было ещё?..)
2010027|전 처음이었는데 [00DEFF]{0}[-]님이 잘 리드해 주셔서…|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Yes. It was the first time for me but you led me so well, [00DEFF]{0}[-].|Да. Это был мой первый раз, но вы направляли меня.
2010028|(악!!!! 역시 그런 건가!\n[00DEFF]{0}[-] 이 바보 녀석! 어쩌자고 부하에게 손을 댄 거야!!)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(*Oh, no!!!! Did I really do it?\nHow could I be so stupid? Why did I do that with my subordinate?)|(О, нет!!! Таки было?!\nКак я мог так поступить с подчинённой?)
2010029|(.....아무래도 여기선 남자답게 책임지는 수밖에 없겠지!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(..... I guess I need to be a man about it!)|(...Что ж, нужно быть мужчиной!)
